Model,Precision,Recall,F1-score,Support,Best Val Acc
NN_V1,0.9842105263157895,0.9883372734436563,0.9860038053878588,218,0.9908257126808167
NN_V2,0.9761749190320618,0.9789562289562289,0.9769980409761272,218,1.0
NN_V3,0.9947368421052631,0.9954545454545455,0.9950344827586207,218,1.0
