epoch,accuracy,val_accuracy
1.000000000000000000e+00,2.241887897253036499e-01,2.064220160245895386e-01
2.000000000000000000e+00,2.074729651212692261e-01,3.073394596576690674e-01
3.000000000000000000e+00,2.418879121541976929e-01,2.431192696094512939e-01
4.000000000000000000e+00,2.438544780015945435e-01,2.339449524879455566e-01
5.000000000000000000e+00,2.704031467437744141e-01,1.972477138042449951e-01
6.000000000000000000e+00,2.674532830715179443e-01,1.834862381219863892e-01
7.000000000000000000e+00,2.910521030426025391e-01,2.477064281702041626e-01
8.000000000000000000e+00,2.851524055004119873e-01,2.522935867309570312e-01
9.000000000000000000e+00,2.704031467437744141e-01,3.761467933654785156e-01
1.000000000000000000e+01,3.579154312610626221e-01,3.211009204387664795e-01
1.100000000000000000e+01,3.028515279293060303e-01,3.027522861957550049e-01
1.200000000000000000e+01,3.097345232963562012e-01,3.623853325843811035e-01
1.300000000000000000e+01,3.343166112899780273e-01,3.211009204387664795e-01
1.400000000000000000e+01,3.166174888610839844e-01,2.752293646335601807e-01
1.500000000000000000e+01,3.638151288032531738e-01,3.302752375602722168e-01
1.600000000000000000e+01,3.756145536899566650e-01,3.761467933654785156e-01
1.700000000000000000e+01,4.228121936321258545e-01,4.403669834136962891e-01
1.800000000000000000e+01,4.149459302425384521e-01,4.908256828784942627e-01
1.900000000000000000e+01,4.129793643951416016e-01,4.082568883895874023e-01
2.000000000000000000e+01,4.336283206939697266e-01,4.541284441947937012e-01
2.100000000000000000e+01,4.513274431228637695e-01,4.678899049758911133e-01
2.200000000000000000e+01,4.552605748176574707e-01,5.642201900482177734e-01
2.300000000000000000e+01,4.788593947887420654e-01,6.697247624397277832e-01
2.400000000000000000e+01,5.575221180915832520e-01,5.091742873191833496e-01
2.500000000000000000e+01,5.467060208320617676e-01,6.055045723915100098e-01
2.600000000000000000e+01,5.722714066505432129e-01,6.972476840019226074e-01
2.700000000000000000e+01,6.027532219886779785e-01,6.009174585342407227e-01
2.800000000000000000e+01,6.135693192481994629e-01,6.422018408775329590e-01
2.900000000000000000e+01,6.253687143325805664e-01,7.660550475120544434e-01
3.000000000000000000e+01,6.627335548400878906e-01,6.972476840019226074e-01
3.100000000000000000e+01,6.833825111389160156e-01,7.293577790260314941e-01
3.200000000000000000e+01,6.361848711967468262e-01,6.605504751205444336e-01
3.300000000000000000e+01,6.823992133140563965e-01,7.844036817550659180e-01
3.400000000000000000e+01,7.305801510810852051e-01,8.715596199035644531e-01
3.500000000000000000e+01,7.649950981140136719e-01,8.394495248794555664e-01
3.600000000000000000e+01,7.826942205429077148e-01,8.669725060462951660e-01
3.700000000000000000e+01,8.033431768417358398e-01,8.256880640983581543e-01
3.800000000000000000e+01,7.630285024642944336e-01,8.119266033172607422e-01
3.900000000000000000e+01,7.885938882827758789e-01,9.082568883895874023e-01
4.000000000000000000e+01,8.151425719261169434e-01,9.082568883895874023e-01
4.100000000000000000e+01,8.092428445816040039e-01,8.394495248794555664e-01
4.200000000000000000e+01,7.964601516723632812e-01,8.348624110221862793e-01
4.300000000000000000e+01,8.495575189590454102e-01,9.082568883895874023e-01
4.400000000000000000e+01,8.190757036209106445e-01,8.715596199035644531e-01
4.500000000000000000e+01,8.348082304000854492e-01,9.357798099517822266e-01
4.600000000000000000e+01,8.446410894393920898e-01,9.357798099517822266e-01
4.700000000000000000e+01,8.475909829139709473e-01,9.128440618515014648e-01
4.800000000000000000e+01,8.505408167839050293e-01,9.174311757087707520e-01
4.900000000000000000e+01,8.603736758232116699e-01,9.082568883895874023e-01
5.000000000000000000e+01,8.377581238746643066e-01,9.174311757087707520e-01
5.100000000000000000e+01,8.584070801734924316e-01,9.357798099517822266e-01
5.200000000000000000e+01,8.731563687324523926e-01,9.174311757087707520e-01
5.300000000000000000e+01,8.633235096931457520e-01,9.633027315139770508e-01
5.400000000000000000e+01,8.770895004272460938e-01,9.357798099517822266e-01
