epoch,loss,val_loss
1.000000000000000000e+00,3.365369081497192383e+00,2.057684183120727539e+00
2.000000000000000000e+00,2.150980710983276367e+00,1.983639240264892578e+00
3.000000000000000000e+00,1.934797525405883789e+00,1.820159673690795898e+00
4.000000000000000000e+00,1.813132405281066895e+00,1.797691941261291504e+00
5.000000000000000000e+00,1.795832991600036621e+00,1.750827670097351074e+00
6.000000000000000000e+00,1.792622208595275879e+00,1.743906855583190918e+00
7.000000000000000000e+00,1.763519644737243652e+00,1.739932298660278320e+00
8.000000000000000000e+00,1.732916355133056641e+00,1.748878717422485352e+00
9.000000000000000000e+00,1.775104999542236328e+00,1.743305444717407227e+00
1.000000000000000000e+01,1.730590105056762695e+00,1.732733011245727539e+00
1.100000000000000000e+01,1.712388873100280762e+00,1.713826298713684082e+00
1.200000000000000000e+01,1.696205258369445801e+00,1.689680457115173340e+00
1.300000000000000000e+01,1.730514883995056152e+00,1.674670815467834473e+00
1.400000000000000000e+01,1.673253417015075684e+00,1.693377017974853516e+00
1.500000000000000000e+01,1.665604948997497559e+00,1.691956400871276855e+00
1.600000000000000000e+01,1.688901782035827637e+00,1.694019317626953125e+00
1.700000000000000000e+01,1.692876696586608887e+00,1.694716930389404297e+00
1.800000000000000000e+01,1.695681452751159668e+00,1.666895866394042969e+00
1.900000000000000000e+01,1.693318843841552734e+00,1.707727432250976562e+00
2.000000000000000000e+01,1.645950794219970703e+00,1.676815390586853027e+00
2.100000000000000000e+01,1.630615711212158203e+00,1.621273875236511230e+00
2.200000000000000000e+01,1.602978587150573730e+00,1.590133070945739746e+00
2.300000000000000000e+01,1.605822086334228516e+00,1.606707692146301270e+00
2.400000000000000000e+01,1.586861610412597656e+00,1.562565207481384277e+00
2.500000000000000000e+01,1.530566453933715820e+00,1.557637214660644531e+00
2.600000000000000000e+01,1.500379562377929688e+00,1.481051206588745117e+00
2.700000000000000000e+01,1.461046695709228516e+00,1.468481302261352539e+00
2.800000000000000000e+01,1.407335877418518066e+00,1.464794516563415527e+00
2.900000000000000000e+01,1.394058942794799805e+00,1.388028502464294434e+00
3.000000000000000000e+01,1.445115089416503906e+00,1.352969050407409668e+00
3.100000000000000000e+01,1.363902568817138672e+00,1.414069652557373047e+00
3.200000000000000000e+01,1.699011802673339844e+00,1.526903867721557617e+00
3.300000000000000000e+01,1.519080877304077148e+00,1.490897893905639648e+00
3.400000000000000000e+01,1.417192339897155762e+00,1.404610037803649902e+00
3.500000000000000000e+01,1.324841737747192383e+00,1.306779861450195312e+00
