epoch,accuracy,val_accuracy
5.900000000000000000e+01,2.920354008674621582e-01,2.614679038524627686e-01
6.000000000000000000e+01,3.323500454425811768e-01,3.211009204387664795e-01
6.100000000000000000e+01,3.117010891437530518e-01,2.706421911716461182e-01
6.200000000000000000e+01,2.989183962345123291e-01,2.339449524879455566e-01
6.300000000000000000e+01,3.313667774200439453e-01,2.431192696094512939e-01
6.400000000000000000e+01,2.920354008674621582e-01,2.522935867309570312e-01
6.500000000000000000e+01,3.667649924755096436e-01,2.981651425361633301e-01
6.600000000000000000e+01,3.244837820529937744e-01,3.256880640983581543e-01
6.700000000000000000e+01,3.362831771373748779e-01,3.440366983413696289e-01
6.800000000000000000e+01,3.264503479003906250e-01,2.752293646335601807e-01
6.900000000000000000e+01,3.480826020240783691e-01,2.706421911716461182e-01
7.000000000000000000e+01,3.323500454425811768e-01,3.761467933654785156e-01
7.100000000000000000e+01,3.500491678714752197e-01,2.385321110486984253e-01
7.200000000000000000e+01,3.225172162055969238e-01,3.623853325843811035e-01
7.300000000000000000e+01,3.313667774200439453e-01,4.220183491706848145e-01
7.400000000000000000e+01,3.529990315437316895e-01,3.990825712680816650e-01
7.500000000000000000e+01,3.697148561477661133e-01,3.073394596576690674e-01
7.600000000000000000e+01,3.716814219951629639e-01,4.908256828784942627e-01
7.700000000000000000e+01,3.726646900177001953e-01,4.174312055110931396e-01
7.800000000000000000e+01,3.657817244529724121e-01,4.770642220973968506e-01
7.900000000000000000e+01,3.726646900177001953e-01,3.211009204387664795e-01
8.000000000000000000e+01,3.864306807518005371e-01,4.449541270732879639e-01
8.100000000000000000e+01,3.824975490570068359e-01,4.816513657569885254e-01
8.200000000000000000e+01,4.011799395084381104e-01,2.431192696094512939e-01
8.300000000000000000e+01,3.765978515148162842e-01,5.000000000000000000e-01
8.400000000000000000e+01,3.883972465991973877e-01,3.899082541465759277e-01
8.500000000000000000e+01,4.090462028980255127e-01,5.321100950241088867e-01
8.600000000000000000e+01,4.473943114280700684e-01,3.853211104869842529e-01
8.700000000000000000e+01,4.355948865413665771e-01,4.908256828784942627e-01
8.800000000000000000e+01,4.424778819084167480e-01,5.504587292671203613e-01
8.900000000000000000e+01,4.670599699020385742e-01,5.779816508293151855e-01
9.000000000000000000e+01,4.670599699020385742e-01,6.192660331726074219e-01
9.100000000000000000e+01,4.768928289413452148e-01,6.330274939537048340e-01
9.200000000000000000e+01,4.975417852401733398e-01,6.376146674156188965e-01
9.300000000000000000e+01,4.896755218505859375e-01,6.009174585342407227e-01
9.400000000000000000e+01,5.290068984031677246e-01,6.972476840019226074e-01
9.500000000000000000e+01,5.368731617927551270e-01,7.844036817550659180e-01
9.600000000000000000e+01,5.378564596176147461e-01,6.880733966827392578e-01
9.700000000000000000e+01,5.565388202667236328e-01,6.605504751205444336e-01
9.800000000000000000e+01,5.742379426956176758e-01,7.522935867309570312e-01
9.900000000000000000e+01,5.703048110008239746e-01,8.348624110221862793e-01
1.000000000000000000e+02,5.919370651245117188e-01,8.256880640983581543e-01
1.010000000000000000e+02,6.017699241638183594e-01,8.486238718032836914e-01
1.020000000000000000e+02,6.175024509429931641e-01,7.798165082931518555e-01
1.030000000000000000e+02,6.568338274955749512e-01,8.899082541465759277e-01
1.040000000000000000e+02,6.499508619308471680e-01,8.211008906364440918e-01
1.050000000000000000e+02,6.519173979759216309e-01,9.082568883895874023e-01
1.060000000000000000e+02,6.715831160545349121e-01,9.403669834136962891e-01
1.070000000000000000e+02,6.853490471839904785e-01,9.357798099517822266e-01
1.080000000000000000e+02,6.991150379180908203e-01,9.403669834136962891e-01
1.090000000000000000e+02,6.892821788787841797e-01,9.357798099517822266e-01
1.100000000000000000e+02,7.099311947822570801e-01,9.678899049758911133e-01
1.110000000000000000e+02,7.374631166458129883e-01,9.633027315139770508e-01
1.120000000000000000e+02,7.404129505157470703e-01,9.357798099517822266e-01
1.130000000000000000e+02,7.600786685943603516e-01,9.495412707328796387e-01
1.140000000000000000e+02,7.512291073799133301e-01,9.036697149276733398e-01
1.150000000000000000e+02,7.581120729446411133e-01,9.587156176567077637e-01
1.160000000000000000e+02,7.846607565879821777e-01,9.495412707328796387e-01
1.170000000000000000e+02,7.846607565879821777e-01,9.357798099517822266e-01
1.180000000000000000e+02,7.708947658538818359e-01,9.403669834136962891e-01
1.190000000000000000e+02,8.121927380561828613e-01,9.082568883895874023e-01
1.200000000000000000e+02,7.925270199775695801e-01,9.495412707328796387e-01
1.210000000000000000e+02,7.807276248931884766e-01,9.587156176567077637e-01
1.220000000000000000e+02,7.915437817573547363e-01,9.357798099517822266e-01
1.230000000000000000e+02,8.072763085365295410e-01,9.449541568756103516e-01
1.240000000000000000e+02,7.994100451469421387e-01,9.678899049758911133e-01
1.250000000000000000e+02,8.131760358810424805e-01,9.816513657569885254e-01
1.260000000000000000e+02,8.338249921798706055e-01,9.587156176567077637e-01
1.270000000000000000e+02,8.289085626602172852e-01,9.862385392189025879e-01
1.280000000000000000e+02,8.338249921798706055e-01,9.449541568756103516e-01
1.290000000000000000e+02,8.357915282249450684e-01,9.862385392189025879e-01
1.300000000000000000e+02,8.407079577445983887e-01,9.816513657569885254e-01
1.310000000000000000e+02,8.328416943550109863e-01,9.770641922950744629e-01
1.320000000000000000e+02,8.357915282249450684e-01,9.862385392189025879e-01
1.330000000000000000e+02,8.416912555694580078e-01,9.816513657569885254e-01
1.340000000000000000e+02,8.633235096931457520e-01,9.908257126808166504e-01
1.350000000000000000e+02,8.387414216995239258e-01,9.816513657569885254e-01
1.360000000000000000e+02,8.436577916145324707e-01,9.862385392189025879e-01
1.370000000000000000e+02,8.534906506538391113e-01,9.908257126808166504e-01
1.380000000000000000e+02,8.682399392127990723e-01,9.678899049758911133e-01
1.390000000000000000e+02,8.554572463035583496e-01,9.908257126808166504e-01
1.400000000000000000e+02,8.711897730827331543e-01,9.954128265380859375e-01
1.410000000000000000e+02,8.593903779983520508e-01,9.954128265380859375e-01
1.420000000000000000e+02,8.584070801734924316e-01,9.954128265380859375e-01
1.430000000000000000e+02,8.721730709075927734e-01,9.862385392189025879e-01
1.440000000000000000e+02,8.780727386474609375e-01,1.000000000000000000e+00
1.450000000000000000e+02,8.633235096931457520e-01,9.954128265380859375e-01
1.460000000000000000e+02,8.593903779983520508e-01,9.678899049758911133e-01
1.470000000000000000e+02,8.761062026023864746e-01,9.908257126808166504e-01
1.480000000000000000e+02,8.623402118682861328e-01,9.954128265380859375e-01
1.490000000000000000e+02,8.731563687324523926e-01,9.954128265380859375e-01
1.500000000000000000e+02,8.741396069526672363e-01,9.908257126808166504e-01
1.510000000000000000e+02,8.633235096931457520e-01,9.954128265380859375e-01
1.520000000000000000e+02,8.967551589012145996e-01,9.770641922950744629e-01
1.530000000000000000e+02,8.652900457382202148e-01,9.541284441947937012e-01
1.540000000000000000e+02,8.210422992706298828e-01,9.082568883895874023e-01
1.550000000000000000e+02,7.236971259117126465e-01,8.990825414657592773e-01
1.560000000000000000e+02,8.190757036209106445e-01,9.541284441947937012e-01
1.570000000000000000e+02,8.121927380561828613e-01,9.770641922950744629e-01
1.580000000000000000e+02,8.298918604850769043e-01,9.862385392189025879e-01
1.590000000000000000e+02,8.584070801734924316e-01,9.954128265380859375e-01
1.600000000000000000e+02,8.711897730827331543e-01,9.954128265380859375e-01
1.610000000000000000e+02,8.967551589012145996e-01,9.862385392189025879e-01
1.620000000000000000e+02,8.898721933364868164e-01,9.908257126808166504e-01
1.630000000000000000e+02,8.751229047775268555e-01,9.954128265380859375e-01
1.640000000000000000e+02,9.006882905960083008e-01,1.000000000000000000e+00
1.650000000000000000e+02,8.672566413879394531e-01,9.954128265380859375e-01
1.660000000000000000e+02,8.820058703422546387e-01,9.954128265380859375e-01
1.670000000000000000e+02,8.859390616416931152e-01,9.954128265380859375e-01
1.680000000000000000e+02,8.997049927711486816e-01,9.954128265380859375e-01
1.690000000000000000e+02,8.869222998619079590e-01,9.954128265380859375e-01
1.700000000000000000e+02,9.006882905960083008e-01,1.000000000000000000e+00
1.710000000000000000e+02,8.908554315567016602e-01,9.954128265380859375e-01
1.720000000000000000e+02,9.046214222908020020e-01,9.954128265380859375e-01
1.730000000000000000e+02,8.987217545509338379e-01,9.954128265380859375e-01
1.740000000000000000e+02,8.977384567260742188e-01,9.908257126808166504e-01
1.750000000000000000e+02,9.026548862457275391e-01,9.954128265380859375e-01
1.760000000000000000e+02,8.987217545509338379e-01,9.954128265380859375e-01
1.770000000000000000e+02,9.115044474601745605e-01,9.954128265380859375e-01
1.780000000000000000e+02,8.849557638168334961e-01,9.954128265380859375e-01
