epoch,loss,val_loss
1.000000000000000000e+00,2.566909551620483398e+00,1.862656116485595703e+00
2.000000000000000000e+00,1.856370568275451660e+00,1.770454645156860352e+00
3.000000000000000000e+00,1.766869068145751953e+00,1.717782139778137207e+00
4.000000000000000000e+00,1.701575279235839844e+00,1.694572687149047852e+00
5.000000000000000000e+00,1.693679451942443848e+00,1.693265438079833984e+00
6.000000000000000000e+00,1.674338698387145996e+00,1.668637394905090332e+00
7.000000000000000000e+00,1.651349663734436035e+00,1.687320232391357422e+00
8.000000000000000000e+00,1.652814745903015137e+00,1.654088735580444336e+00
9.000000000000000000e+00,1.640758872032165527e+00,1.644073009490966797e+00
1.000000000000000000e+01,1.642881870269775391e+00,1.655158281326293945e+00
1.100000000000000000e+01,1.646737456321716309e+00,1.677185297012329102e+00
1.200000000000000000e+01,1.673428297042846680e+00,1.704434275627136230e+00
1.300000000000000000e+01,1.685418248176574707e+00,1.678170919418334961e+00
1.400000000000000000e+01,1.635034799575805664e+00,1.643540978431701660e+00
1.500000000000000000e+01,1.616039514541625977e+00,1.648126006126403809e+00
1.600000000000000000e+01,1.634755849838256836e+00,1.673515558242797852e+00
1.700000000000000000e+01,1.650565624237060547e+00,1.674426674842834473e+00
1.800000000000000000e+01,1.603295445442199707e+00,1.654972910881042480e+00
1.900000000000000000e+01,1.598682403564453125e+00,1.624911546707153320e+00
2.000000000000000000e+01,1.582170486450195312e+00,1.626622438430786133e+00
2.100000000000000000e+01,1.569399476051330566e+00,1.597659945487976074e+00
2.200000000000000000e+01,1.545128464698791504e+00,1.568159341812133789e+00
2.300000000000000000e+01,1.509956121444702148e+00,1.561612486839294434e+00
2.400000000000000000e+01,1.492329120635986328e+00,1.542648911476135254e+00
2.500000000000000000e+01,1.501281619071960449e+00,1.541495680809020996e+00
2.600000000000000000e+01,1.462586760520935059e+00,1.528988242149353027e+00
2.700000000000000000e+01,1.439981579780578613e+00,1.487073421478271484e+00
2.800000000000000000e+01,1.411607861518859863e+00,1.505283474922180176e+00
2.900000000000000000e+01,1.387068271636962891e+00,1.428566455841064453e+00
3.000000000000000000e+01,1.377295136451721191e+00,1.431150913238525391e+00
3.100000000000000000e+01,1.359431385993957520e+00,1.405988335609436035e+00
3.200000000000000000e+01,1.307237982749938965e+00,1.379324197769165039e+00
3.300000000000000000e+01,1.279556751251220703e+00,1.413430333137512207e+00
3.400000000000000000e+01,1.296173691749572754e+00,1.365644812583923340e+00
3.500000000000000000e+01,1.249128580093383789e+00,1.274930238723754883e+00
3.600000000000000000e+01,1.201698422431945801e+00,1.280408024787902832e+00
3.700000000000000000e+01,1.173308849334716797e+00,1.209877371788024902e+00
3.800000000000000000e+01,1.203383207321166992e+00,1.223753571510314941e+00
3.900000000000000000e+01,1.157302856445312500e+00,1.193578362464904785e+00
4.000000000000000000e+01,1.121490836143493652e+00,1.152258038520812988e+00
4.100000000000000000e+01,1.092860460281372070e+00,1.175613284111022949e+00
4.200000000000000000e+01,1.050687074661254883e+00,1.136864542961120605e+00
4.300000000000000000e+01,1.028397679328918457e+00,1.103637576103210449e+00
4.400000000000000000e+01,1.035998463630676270e+00,1.050490379333496094e+00
4.500000000000000000e+01,1.023341894149780273e+00,1.105137348175048828e+00
4.600000000000000000e+01,1.029764771461486816e+00,1.039793252944946289e+00
4.700000000000000000e+01,1.002686619758605957e+00,1.076865434646606445e+00
4.800000000000000000e+01,1.002708792686462402e+00,1.003986597061157227e+00
4.900000000000000000e+01,9.381290078163146973e-01,9.497038722038269043e-01
5.000000000000000000e+01,9.194409251213073730e-01,9.569807648658752441e-01
5.100000000000000000e+01,9.212630987167358398e-01,9.357563257217407227e-01
5.200000000000000000e+01,1.094889521598815918e+00,1.358058810234069824e+00
5.300000000000000000e+01,1.367589950561523438e+00,1.354863762855529785e+00
5.400000000000000000e+01,1.211918354034423828e+00,1.173726320266723633e+00
5.500000000000000000e+01,1.231730341911315918e+00,1.318304657936096191e+00
5.600000000000000000e+01,1.152193903923034668e+00,1.091859340667724609e+00
5.700000000000000000e+01,1.001166939735412598e+00,9.546040296554565430e-01
5.800000000000000000e+01,9.473341107368469238e-01,9.482606649398803711e-01
5.900000000000000000e+01,9.058771133422851562e-01,9.053159952163696289e-01
6.000000000000000000e+01,8.604056239128112793e-01,8.967791199684143066e-01
6.100000000000000000e+01,8.539214134216308594e-01,9.274925589561462402e-01
6.200000000000000000e+01,9.047101736068725586e-01,8.880780935287475586e-01
6.300000000000000000e+01,9.019411802291870117e-01,9.389908909797668457e-01
6.400000000000000000e+01,8.372178673744201660e-01,8.422372937202453613e-01
6.500000000000000000e+01,7.790881991386413574e-01,7.775495052337646484e-01
6.600000000000000000e+01,7.442907691001892090e-01,7.624568939208984375e-01
6.700000000000000000e+01,7.780796289443969727e-01,7.623976469039916992e-01
6.800000000000000000e+01,7.679475545883178711e-01,7.599840164184570312e-01
6.900000000000000000e+01,7.396704554557800293e-01,7.537065148353576660e-01
7.000000000000000000e+01,7.374545931816101074e-01,7.547554969787597656e-01
7.100000000000000000e+01,7.078596949577331543e-01,7.222019433975219727e-01
7.200000000000000000e+01,6.998617649078369141e-01,7.076957225799560547e-01
7.300000000000000000e+01,7.582162618637084961e-01,7.329044342041015625e-01
7.400000000000000000e+01,7.085775136947631836e-01,6.723517775535583496e-01
7.500000000000000000e+01,6.675130724906921387e-01,6.600123643875122070e-01
7.600000000000000000e+01,6.682288050651550293e-01,7.345851063728332520e-01
