epoch,accuracy,val_accuracy
1.000000000000000000e+00,2.104228138923645020e-01,2.155963331460952759e-01
2.000000000000000000e+00,2.477876096963882446e-01,1.697247773408889771e-01
3.000000000000000000e+00,2.025565356016159058e-01,2.477064281702041626e-01
4.000000000000000000e+00,2.359881997108459473e-01,1.972477138042449951e-01
5.000000000000000000e+00,2.271386384963989258e-01,1.788990795612335205e-01
6.000000000000000000e+00,2.409046143293380737e-01,2.247706353664398193e-01
7.000000000000000000e+00,2.497541755437850952e-01,1.834862381219863892e-01
8.000000000000000000e+00,2.359881997108459473e-01,2.339449524879455566e-01
9.000000000000000000e+00,2.448377609252929688e-01,2.752293646335601807e-01
1.000000000000000000e+01,2.664700150489807129e-01,2.660550475120544434e-01
1.100000000000000000e+01,2.812192738056182861e-01,2.522935867309570312e-01
1.200000000000000000e+01,2.772861421108245850e-01,2.155963331460952759e-01
1.300000000000000000e+01,2.881022691726684570e-01,3.073394596576690674e-01
1.400000000000000000e+01,2.871189713478088379e-01,2.431192696094512939e-01
1.500000000000000000e+01,3.205506503582000732e-01,3.119266033172607422e-01
1.600000000000000000e+01,3.451327383518218994e-01,2.981651425361633301e-01
1.700000000000000000e+01,2.959685325622558594e-01,3.623853325843811035e-01
1.800000000000000000e+01,3.598819971084594727e-01,3.761467933654785156e-01
1.900000000000000000e+01,3.726646900177001953e-01,2.614679038524627686e-01
2.000000000000000000e+01,4.149459302425384521e-01,3.256880640983581543e-01
2.100000000000000000e+01,4.110127687454223633e-01,3.256880640983581543e-01
2.200000000000000000e+01,4.287118911743164062e-01,3.302752375602722168e-01
2.300000000000000000e+01,4.709931313991546631e-01,5.366972684860229492e-01
2.400000000000000000e+01,4.936086535453796387e-01,5.596330165863037109e-01
2.500000000000000000e+01,4.867256581783294678e-01,4.220183491706848145e-01
2.600000000000000000e+01,5.358898639678955078e-01,3.486238420009613037e-01
2.700000000000000000e+01,5.083579421043395996e-01,6.926605701446533203e-01
2.800000000000000000e+01,5.604719519615173340e-01,6.788991093635559082e-01
2.900000000000000000e+01,5.948868989944458008e-01,7.064220309257507324e-01
3.000000000000000000e+01,6.027532219886779785e-01,6.972476840019226074e-01
3.100000000000000000e+01,6.007866263389587402e-01,5.000000000000000000e-01
3.200000000000000000e+01,6.391347050666809082e-01,7.889908552169799805e-01
3.300000000000000000e+01,6.617502570152282715e-01,4.403669834136962891e-01
3.400000000000000000e+01,6.558505296707153320e-01,7.247706651687622070e-01
3.500000000000000000e+01,6.774827837944030762e-01,7.844036817550659180e-01
3.600000000000000000e+01,7.197639942169189453e-01,7.844036817550659180e-01
3.700000000000000000e+01,7.266470193862915039e-01,7.706422209739685059e-01
3.800000000000000000e+01,7.246804237365722656e-01,8.302752375602722168e-01
3.900000000000000000e+01,7.217305898666381836e-01,8.119266033172607422e-01
4.000000000000000000e+01,7.581120729446411133e-01,8.899082541465759277e-01
4.100000000000000000e+01,7.826942205429077148e-01,7.385321259498596191e-01
4.200000000000000000e+01,7.994100451469421387e-01,8.623853325843811035e-01
4.300000000000000000e+01,7.944936156272888184e-01,8.532109856605529785e-01
4.400000000000000000e+01,7.915437817573547363e-01,8.899082541465759277e-01
4.500000000000000000e+01,7.935103178024291992e-01,7.477064132690429688e-01
4.600000000000000000e+01,7.905604839324951172e-01,8.440366983413696289e-01
4.700000000000000000e+01,8.112094402313232422e-01,7.798165082931518555e-01
4.800000000000000000e+01,7.925270199775695801e-01,8.532109856605529785e-01
4.900000000000000000e+01,8.200590014457702637e-01,8.532109856605529785e-01
5.000000000000000000e+01,8.259587287902832031e-01,8.532109856605529785e-01
5.100000000000000000e+01,8.239921331405639648e-01,8.990825414657592773e-01
5.200000000000000000e+01,7.787610888481140137e-01,7.018348574638366699e-01
5.300000000000000000e+01,7.197639942169189453e-01,7.889908552169799805e-01
5.400000000000000000e+01,7.797443270683288574e-01,8.623853325843811035e-01
5.500000000000000000e+01,7.354965806007385254e-01,7.293577790260314941e-01
5.600000000000000000e+01,7.492625117301940918e-01,8.302752375602722168e-01
5.700000000000000000e+01,8.141592741012573242e-01,9.036697149276733398e-01
5.800000000000000000e+01,8.200590014457702637e-01,9.311926364898681641e-01
5.900000000000000000e+01,8.377581238746643066e-01,9.220183491706848145e-01
6.000000000000000000e+01,8.613569140434265137e-01,8.853210806846618652e-01
6.100000000000000000e+01,8.466076850891113281e-01,8.486238718032836914e-01
6.200000000000000000e+01,8.338249921798706055e-01,9.174311757087707520e-01
6.300000000000000000e+01,8.485742211341857910e-01,8.990825414657592773e-01
6.400000000000000000e+01,8.554572463035583496e-01,9.220183491706848145e-01
6.500000000000000000e+01,8.780727386474609375e-01,9.311926364898681641e-01
6.600000000000000000e+01,8.938053250312805176e-01,9.587156176567077637e-01
6.700000000000000000e+01,8.731563687324523926e-01,9.495412707328796387e-01
6.800000000000000000e+01,8.711897730827331543e-01,9.082568883895874023e-01
6.900000000000000000e+01,8.810226321220397949e-01,9.403669834136962891e-01
7.000000000000000000e+01,8.770895004272460938e-01,8.807339668273925781e-01
7.100000000000000000e+01,8.869222998619079590e-01,9.082568883895874023e-01
7.200000000000000000e+01,9.056047201156616211e-01,9.633027315139770508e-01
7.300000000000000000e+01,8.731563687324523926e-01,9.449541568756103516e-01
7.400000000000000000e+01,8.839724659919738770e-01,9.587156176567077637e-01
7.500000000000000000e+01,9.134709835052490234e-01,9.541284441947937012e-01
7.600000000000000000e+01,8.957718610763549805e-01,9.128440618515014648e-01
7.700000000000000000e+01,8.879055976867675781e-01,9.174311757087707520e-01
7.800000000000000000e+01,8.997049927711486816e-01,9.449541568756103516e-01
7.900000000000000000e+01,8.947886228561401367e-01,9.724770784378051758e-01
8.000000000000000000e+01,9.124876856803894043e-01,9.266055226325988770e-01
8.100000000000000000e+01,9.095378518104553223e-01,9.357798099517822266e-01
8.200000000000000000e+01,9.183874130249023438e-01,9.633027315139770508e-01
8.300000000000000000e+01,9.134709835052490234e-01,9.403669834136962891e-01
8.400000000000000000e+01,9.036381244659423828e-01,9.495412707328796387e-01
8.500000000000000000e+01,9.203540086746215820e-01,9.908257126808166504e-01
8.600000000000000000e+01,9.164208173751831055e-01,9.633027315139770508e-01
8.700000000000000000e+01,8.987217545509338379e-01,8.944954276084899902e-01
8.800000000000000000e+01,8.682399392127990723e-01,9.220183491706848145e-01
8.900000000000000000e+01,8.987217545509338379e-01,9.449541568756103516e-01
9.000000000000000000e+01,9.115044474601745605e-01,9.495412707328796387e-01
9.100000000000000000e+01,9.213372468948364258e-01,9.449541568756103516e-01
9.200000000000000000e+01,9.183874130249023438e-01,9.541284441947937012e-01
9.300000000000000000e+01,9.272369742393493652e-01,9.587156176567077637e-01
9.400000000000000000e+01,9.193707108497619629e-01,9.449541568756103516e-01
9.500000000000000000e+01,9.154375791549682617e-01,9.724770784378051758e-01
9.600000000000000000e+01,9.174041152000427246e-01,9.862385392189025879e-01
9.700000000000000000e+01,9.429695010185241699e-01,9.862385392189025879e-01
9.800000000000000000e+01,9.419862627983093262e-01,9.862385392189025879e-01
9.900000000000000000e+01,9.508357644081115723e-01,9.908257126808166504e-01
1.000000000000000000e+02,9.478859305381774902e-01,9.770641922950744629e-01
